DKG-PPO	
Makespan	Tardiness
306	911.45
326	1026.92
331	1509.44
323	0
326	1026.92
331	1509.44
315	0
320	0
353	0
294	0
311	0
334	0
299	0
308	0
331	0
330	0
342	0
325	0
331	0
306	0
331	0
323	0
322	0
323	0
326	0
326	0
314	0
320	0
328	0
308	0


IPPO	
Makespan	Tardiness
320	785.29
344	821.25
335	1384.44
334	0
344	821.25
335	1384.44
320	0
331	0
346	0
297	0
322	0
324	0
306	0
308	0
327	0
362	0
363	0
357	0
332	0
305	0
346	0
325	0
324	0
330	0
330	0
323	0
340	0
338	0
351	0
323	0

