DKG-PPO	
Makespan	Tardiness
426	0
411	0
406	0
406	0
733	0
402	0
549	73.91
423	0
666	279.33
429	0
402	0
417	0
561	105.57
712	46.04
653	62.94
552	0
406	0
412	0
388	0
413	0
434	0
402	0
672	233.54
405	0
397	0
421	0
427	0
424	0
411	0
417	0


IPPO	
Makespan	Tardiness
445	0
420	0
439	0
413	0
616	0
413	0
628	639.78
449	0
672	478.59
441	0
422	0
445	0
585	117.93
773	187.8
657	97.94
604	0
439	0
424	0
415	0
415	0
446	0
422	0
644	599.23
407	0
410	0
421	0
420	0
443	0
433	0
404	0

