60*10										
EDD	EDD	SPT	SPT	LWKR	LWKR	FIFO	FIFO	KG-PPO	KG-PPO
Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
2659	50390.21	3753.12	91706.54	2647	28718.9	929	1121.17	912	1035.71
2823	50712.19	3580.67	82285.34	2728	33483	975	1559.47	951	438.53
2328	43668.54	3348.69	78489.45	2385	28632.52	822	900.2	787	192.17
2526	46122.65	3523.91	89091.27	2548	30761.08	898	2129.92	894	712.08
2268	34417.72	3323.92	80120.56	2386	23546.54	842	972.85	805	262.89
2937	55784.22	3424.33	76772.2	2647	34788.44	923	1957.47	893	491.48
2491	42248.13	3625.5	91179.09	2423	28130.88	836	1817.29	826	189.95
2438	42131.44	3255	75744.65	2511	28332.59	832	1175.07	722	0
2431	43186.8	3574.91	84214.69	2629	31904.76	812	1609.66	783	191.03
3053	57478.98	3787.47	89700.82	2914	27995.59	996	1867.8	969	730.46
2632	48663.38	3761.75	91467.14	2643	29104.22	1009	1826.51	929	806.22
2817	54570.32	3438.31	79717.31	2560	31135.75	876	1910.58	860	811.99
2564	41724.9	3467.12	82490.47	2844	30911.39	943	1448.04	887	943.86
2348	39925.98	3169.48	82140.49	2323	27091.95	825	1317.52	745	74.85
2657	47574.29	3768.66	101401.17	2431	29309.78	838	1900.64	801	306.37
2493	41942.39	3154.42	87446.29	2530	32259.46	845	2579.91	827	713.99
2162	30344.01	3365.08	92012.49	2130	24636.05	810	1222.8	802	425.56
2144	30041	3220.19	84741.03	2234	24214.5	849	1909.72	826	267.3
2177	31092.23	3394.1	87879.93	2050	22670.35	828	1238.68	819	423.6
2517	41239.17	3592.91	100357.68	2461	29493.73	839	1228.03	800	209.15
2795	54558.67	3733.8	96653.93	2603	28799.57	920	2389.15	868	802.44
2748	45868.67	3656.36	93625.07	2661	31771.87	892	2176.74	857	342.56
2233	33931.05	3760.64	95761.35	2424	25367.43	901	1148.52	831	314.33
2572	48539.43	3212.86	75492.72	2657	28274.06	941	1923.44	858	340.03
2545	44599.17	3812.37	104563.49	2534	31381.18	944	2822.57	916	556.22
2739	49787.1	3706	79577.29	2551	30060.42	874	2088.43	818	237.1
2485	35717.17	3314.86	75204.04	2590	25598.81	968	3628.95	943	358.23
2437	43097.31	3432.55	82043.87	2239	25627.32	822	3816.7	794	437.98
2733	42157.32	3657	68191.63	2701	28058.08	975	3567.43	907	500.13
2222	31466.08	3244.48	81931.93	2224	28935.12	848	5326.75	832	230.11


