10*5										
EDD	EDD	SPT	SPT	LWKR	LWKR	FIFO	FIFO	KG-PPO	KG-PPO
Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
580	2039.08	498.83	2444.73	433	1281.24	268	705.76	252	569.61
584	2328.62	617.82	2959.18	529	1729.91	331	473.34	336	524.28
537	1950.62	513.29	2171.27	481	1369.37	258	597.22	236	418.8
593	1125.27	725.47	2408.69	691	1404.85	414	821.85	366	714.02
527	1276.62	535	1293.29	526	1303.01	357	659.42	343	563.06
550	1308.54	547.57	2325.98	607	1427.34	300	363.9	293	275.08
697	1741.49	737.38	2961.55	692	1649.16	364	873.97	329	625.49
574	1527.13	447.21	1330.29	551	1648.33	408	602.92	411	722.11
735	2267.79	820.98	3271.33	786	2237.06	532	965.33	417.98	905.43
618	1954.69	621.55	2983.4	709	2105.53	410	940.37	397	865.53
403	1274.02	587.79	1794.81	435	1016.72	313	493.52	285	534.13
552	1936.66	497	2355.85	556	1358.46	344	912.39	326	720.85
518	1805.9	673	2615.86	580	1722.46	292	782.95	306	852.89
521	2107.22	672.38	2245.48	515	1476.14	299	877.98	279	644.42
508	868.31	569.33	1829.81	501	1243.32	372	612.95	333	576.47
453	912.39	488.21	1463.34	548	1425.84	328	603.65	312	390.99
708	1812.49	767.04	2806.61	645	1279.08	449	842.14	405	667.41
423	981.52	449	1155.06	496	972.29	263	419.88	251	250.45
588	2076.4	731.56	2427	622	1739.29	388	920.12	347	614.83
620	1412.15	665.63	1968.01	751	2113.85	361	820.85	360	667.07
987	3168.83	913.72	3795.94	1078	2893.89	598	1362.25	445	1154.05
630	1976.11	725.14	2247.78	561	1726.59	426	983.02	401	1013.46
467	1571.09	538.98	1961.07	487	1388.16	279	844.41	274	518.11
493	1492.16	647.98	1816.34	576	1126.57	362	695.49	339	373.6
528	1857.74	590.51	2032.05	498.51	1449.66	316	512.07	286	222.09
488	487.63	603.26	2016.53	499	910.52	391	429.37	365	200.77
572	2069.67	690	1805.61	617	1146.29	381	595.71	319	435.49
650	1597.61	690.23	2105.52	551	1261.31	348	643.52	322	612.05
593	1125.27	725.47	2408.69	691	1404.85	414	821.85	366	714.02
442	663.34	678.35	1814.54	561	951.32	368	449.35	361	301.3



