40*10										
EDD	EDD	SPT	SPT	LWKR	LWKR	FIFO	FIFO	KG-PPO	KG-PPO
Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
2331	30333.15	3022.23	49659.73	2085	17554.67	818	1720.95	793	824.81
1919	24085.55	2358.28	38611.72	1875	14433.75	673	1565.53	631	369.06
1706	19415.51	2362.28	40372.35	1668	15479.37	639	1414.52	638	739.12
1698	17309.04	2320	32523.71	1557	11981.6	647	1708.47	627	588.29
2080	19727.69	3076.72	38698.99	2105	9840.59	866	41.73	789	0
1685	21032.24	2225.88	39280.29	1500	14222.54	579	1360.58	567	401.86
2047	24646.86	2595.52	45226.27	2006	16991.67	752	1460.9	736	465.14
1726	20127.96	2192.85	38583.64	1572	13422.81	596	1396.86	545	491.13
2100	23944.94	2683.7	50646.08	1975	18464.75	724	1195.63	697	244.06
1636	19246.4	2324.63	39709.36	1688	14684.75	669	1184.89	610	593.28
1918	23742.08	2894.56	48440.31	2077	19725.41	751	2110.74	685	1029.51
1617	18378.45	2483.92	42620.34	1603	12023.68	627	740.16	600	491.25
1848	17588.72	2675.92	39846.23	1536	11268.66	661	423.73	644	367.66
2436	19595.06	2938.78	37698.75	2442	14954.72	847	778.63	822	284.57
2055	14864.29	2589.81	32261.49	2337	13489.01	793	388.62	757	55.94
2166	20419.51	2765.93	40875.58	2073	14787.43	681	1503.8	665	64.39
2009	25307.51	2773.28	44157.35	2005	15971.37	776	1838.52	775	1082.97
1988	23641.24	2367.01	37488.04	1674	13994	687	1218.47	657	990.38
1584	17538.64	2069	35287.18	1616	12701.61	683	1328.51	670	597.57
1671	18743.21	2509.24	45971	1718	12339.1	709	1090.74	704	834.33
2006	24843.24	2541.93	41877.5	2064	17943.43	758	1640.87	684	894.19
2043	26123.08	2874.56	51094.31	2072	19947.41	730	1999.59	685	1007.15
2674	29903.71	3100.64	56706.41	2281	18633.37	824	916.46	813	612.91
1998	24533.76	2480.35	42894.87	1951	16309.75	685	1626.55	683	919.92
1640	19929.35	2266.81	36714.58	1644	12832.02	670	1301.47	628	587.09
1601	18512.33	2395.41	45894.02	1713	14732.83	600	929.55	574	316.69
1579	17879.9	2485.71	44602.82	1715	12209.82	707	1357.82	702	849.64
1676	20439.68	2400.99	40297.41	1726	16657.13	590	1043.55	574	354.61
1472	18489.39	2236.2	44137.41	1647	18987.2	505	890.37	526	119.05
1553	18206.68	2089.04	32620.31	1667	17401	511	890.57	532	329.06


