55*10										
EDD	EDD	SPT	SPT	LWKR	LWKR	FIFO	FIFO	KG-PPO	KG-PPO
Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
2376	39137.19	2968	54126.31	2292	23948.75	859	1322.04	850	537.45
2431	41989.45	3145.8	76066.64	2345	26309.83	725	1260.3	715	53.4
2143	32529.84	3256.59	77890.08	2235	23982.98	784	1347.64	739	222.29
2336	35325.32	3200.1	72592.65	2388	21068.99	869	1299.02	874	651.95
2230	41961.82	2666	50129.87	2301	26753.2	740	1064.91	695	144.87
2484	45384.28	3289.02	75682.5	2319	23053.79	874	1285.7	855	466.28
5705	73298.43	7085.25	166258.51	7238.25	125969.36	1822	1241.17	1777	0
2361	36628.66	3316.77	81228.05	2333	25946.86	834	1627.19	770	211.72
2290	38484.86	2807.95	66780.68	2198	28205.26	737	1105.81	721	91.21
6074	91389.38	7183.36	167455.13	7615.36	137846.52	1958	2512.9	1926	0
6828	104368.96	7737.82	187139.54	7889.82	133190.99	1914	912.66	1840	0
6901	103532.94	8206.19	175360.5	7852.19	127994	1965	2446.19	1837	0
2310	37176	7901.84	177708.54	7670.84	135910.93	1977	1893.47	1936	0
2224	29658.43	3021	57519.17	2327	27013.77	751	768.46	742	216.89
2238	35417.9	3261.86	75009.1	2432	25261.28	935	1307.65	861	353.48
2145	33748.82	3295.87	75045.78	2328	25688.45	912	2597.12	882	520.74
2165	33328.24	2943.95	66111.5	2194	25351.69	748	1883.34	700	340.74
2408	38600.95	3313.91	76186.03	2193	22038.6	837	1883.47	779	342.21
2468	43861.06	3254.88	75068.78	2463	26972.98	780	1807.73	779	919.34
2383	39135.53	3342.02	82264.26	2221	23911.62	840	1796.7	786	643.29
2594	47603.15	3139.87	71092.03	2297	28644.7	820	1939.54	719	405.1
2173	34746.51	3049.98	75019.37	2171	20806.87	916	1736.35	874	661.12
2004	31027.89	2953.81	72925.86	2076	22530.76	706	1553.22	648	43.15
2520	41600.83	3145.73	72580.44	2535	30108.09	815	1933.06	778	544.46
2386	36737.08	3311.52	84433.41	2366	28043.42	849	1743.98	809	277.72
2208	29947.26	3280.13	74767.74	2222	23672.23	783	1717.25	744	266.64
2371	38419.75	2981.49	75055.07	2385	30125.52	783	1363.2	761	601.62
2198	32668.34	3285.34	74956.51	2155	21938.91	851	1591.35	743	388.04
2395	38684.93	3093.85	71679.77	2324	30245.29	752	1314.52	703	181.93
2393	38170.83	3220.4	69281.53	2336	26969.25	811	1365.76	792	742.23

