30*10										
EDD	EDD	SPT	SPT	LWKR	LWKR	FIFO	FIFO	KG-PPO	KG-PPO
Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
1439	12753.01	1826	27883.07	1366	10710.66	577	3646.95	576	1858.97
1402	12536.05	1990.78	26982.06	1622	14996.72	650	3394.24	644	2222.85
1491	17933.44	1961.67	31329.59	1507	15238.42	599	3671	580	2575.65
1580	15676.7	1869.59	23129.96	1412	7624.73	646	962.31	630	879.91
1402	12536.05	1990.78	26982.06	1622	14996.72	650	3394.24	644	2222.85
1491	17933.44	1961.67	31329.59	1507	15238.42	599	3671	580	2575.65
1544	13903.47	2219.99	23539.82	1425	6999.94	598	745.44	561	514.89
1318	12896.77	1662	16095.99	1328	7458.48	532	945.94	531	571.22
1547	15069.26	2184.94	22636.91	1647	9771.78	653	1013.64	607	660.38
1496	13938.54	1965.49	21281.69	1489	7518.84	641	894.02	621	812.63
1619	16812.46	2038.08	23790.15	1444	8453.52	627	1172.5	608	1012.54
1529	16521.48	1930.5	23049.33	1540	9988.79	559	736.71	567	613.18
1435	12561.58	1931.62	24395.83	1357	9257.92	529	746.82	527	656.49
1185	9461.98	1775.04	24654.08	1096	6290.3	515	641.21	492	510.89
1490	14948.78	1910.42	24125.55	1532	12179.74	568	771.44	548	637.95
1745	18326.7	2048.37	26285.25	1629	12368.74	628	634	590	535.19
1639	16412.3	2062.13	27901.51	1440	9245.09	624	674.75	593	578.02
1465	15283.66	1717.36	20669.85	1247	10173.25	497	1110.04	455	484.12
1343	11546.19	2077.78	25938.61	1485	9204.17	555	720.01	511	709.33
1570	17725.44	2071.27	27251.76	1662	11339.72	554	845.59	558	748.22
1346	12391.47	1735.59	25133.85	1562	11127.27	624	973.06	587	709.4
1449	14326.39	2048.66	23671.31	1436	9205.43	598	975.09	579	858.08
1245	11787	1954.62	28641.67	1452	10292.85	566	553.27	513	435.24
1441	15017.61	1986.95	23079.08	1333	7814.51	610	1114.78	597	905.3
1563	18166.6	2272.4	21946.16	1540	8575.05	669	1035.66	668	859.83
1275	11227.47	1954.74	20806.66	1166	5822.61	598	794.39	557	661.29
1505	14545.51	1974.07	26752.93	1662	16045.92	568	1153.54	559	942.87
1467	13379.94	1838.44	23491.2	1534	9779.46	584	1286.84	563	920.8
1471	13619.5	1979.25	28455.59	1488	11922.69	594	1030.26	580	635.4
1638	18468.37	1940.94	26717.86	1654	10347.12	621	1407.99	662	1304.19

